participant_ID,currentTrial,subject_id,study_id,session_id,rt,response,task,ball_X,obstacle_groundTruth_x,obstacle_groundTruth_y,stimulus_idx,trial_name,flipped,choice,timeLimit,obstacle_choice_x,obstacle_choice_y,ball_X_final,obstacle_groundTruth_x_final,obstacle_choice_x_final,is_accurate
66e0d867f745183388c72031_result,1.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,853.0,f,ballFalling,604.4000000000001,596.8711431702998,394.5,10.0,fallScene,False,lp,1000.0,603.4000000000001,215.50214355555383,604.4000000000001,596.8711431702998,603.4000000000001,True
66e0d867f745183388c72031_result,2.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,981.0,f,ballFalling,322.3,308.07114317029976,253.89,2.0,fallScene,True,mid,1000.0,321.3,300.0,677.7,691.9288568297002,678.7,True
66e0d867f745183388c72031_result,3.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,793.0,j,ballFalling,604.4000000000001,596.8711431702998,394.5,10.0,fallScene,True,gt,1000.0,596.8711431702998,394.5,395.5999999999999,403.1288568297002,403.1288568297002,True
66e0d867f745183388c72031_result,4.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,677.0,j,ballFalling,604.4000000000001,650.0211431702996,404.58,11.0,fallScene,False,lp,1000.0,605.4000000000001,372.6340973215488,604.4000000000001,650.0211431702996,605.4000000000001,False
66e0d867f745183388c72031_result,5.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,788.0,f,ballFalling,322.3,296.07114317029976,371.46,3.0,fallScene,False,mid,1000.0,321.3,300.0,322.3,296.07114317029976,321.3,True
66e0d867f745183388c72031_result,6.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,930.0,f,ballFalling,322.3,296.07114317029976,371.46,3.0,fallScene,True,gt,1000.0,296.07114317029976,371.46,677.7,703.9288568297002,703.9288568297002,False
66e0d867f745183388c72031_result,7.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,,,ballFalling,604.4000000000001,667.6211431702998,201.78,9.0,fallScene,True,gt,1000.0,667.6211431702998,201.78,395.5999999999999,332.3788568297002,332.3788568297002,
66e0d867f745183388c72031_result,8.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,249.0,f,ballFalling,604.4000000000001,575.4211431702997,266.76,12.0,fallScene,False,gt,1000.0,575.4211431702997,266.76,604.4000000000001,575.4211431702997,575.4211431702997,False
66e0d867f745183388c72031_result,9.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,711.0,j,ballFalling,604.4000000000001,575.4211431702997,266.76,12.0,fallScene,False,lp,1000.0,603.4000000000001,151.0,604.4000000000001,575.4211431702997,603.4000000000001,False
66e0d867f745183388c72031_result,10.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,624.0,j,ballFalling,322.3,308.07114317029976,253.89,2.0,fallScene,False,lp,1000.0,321.3,151.0,322.3,308.07114317029976,321.3,False
66e0d867f745183388c72031_result,11.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,881.0,f,ballFalling,604.4000000000001,650.0211431702996,404.58,11.0,fallScene,False,lp,1000.0,605.4000000000001,372.6340973215488,604.4000000000001,650.0211431702996,605.4000000000001,True
66e0d867f745183388c72031_result,12.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,507.0,j,ballFalling,500.0,553.4711431702997,282.51,7.0,fallScene,False,lp,1000.0,501.0,227.2843295913261,500.0,553.4711431702997,501.0,False
66e0d867f745183388c72031_result,13.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,937.0,j,ballFalling,322.3,379.3711431702997,245.25,1.0,fallScene,False,lp,1000.0,323.3,217.74551669457017,322.3,379.3711431702997,323.3,False
66e0d867f745183388c72031_result,14.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,966.0,j,ballFalling,322.3,379.3711431702997,245.25,1.0,fallScene,False,mid,1000.0,390.27114317029975,300.0,322.3,379.3711431702997,390.27114317029975,False
66e0d867f745183388c72031_result,15.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,,,ballFalling,500.0,453.6711431702998,210.33,5.0,fallScene,False,lp,1000.0,499.0,151.0,500.0,453.6711431702998,499.0,
66e0d867f745183388c72031_result,16.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,249.0,f,ballFalling,500.0,479.9211431702998,330.87,6.0,fallScene,True,mid,1000.0,499.0,300.0,500.0,520.0788568297003,501.0,True
66e0d867f745183388c72031_result,17.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,712.0,f,ballFalling,604.4000000000001,596.8711431702998,394.5,10.0,fallScene,False,mid,1000.0,536.4288568297004,300.0,604.4000000000001,596.8711431702998,536.4288568297004,True
66e0d867f745183388c72031_result,18.0,66e0d867f745183388c72031,67619bf32066d179f8b4b1ec,67894f336c17c953e4726a36,612.0,f,ballFalling,604.4000000000001,667.6211431702998,201.78,9.0,fallScene,True,gt,1000.0,667.6211431702998,201.78,395.5999999999999,332.3788568297002,332.3788568297002,False
