"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","16","423295","0.0-11.0-0.0-2.0-1.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","2534","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","17","424868","0.0-11.0-0.0-2.0-0.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","18","425931","0.0-11.0-0.0-2.0-1.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","1057","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","19","567702","0.0-11.0-0.0-3.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","[{""page_index"":0,""viewing_time"":82177},{""page_index"":1,""viewing_time"":59588}]","141766","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","583546","0.0-11.0-0.0-4.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","15341","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","615511","0.0-11.0-1.0-0.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","31962","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","623674","0.0-11.0-1.0-1.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","8160","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","631569","0.0-11.0-1.0-2.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","7893","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","643329","0.0-11.0-1.0-3.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","11757","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","670145","0.0-11.0-1.0-4.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","26814","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","",""
