"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","15","185828","0.0-11.0-0.0-2.0-0.1","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","16","190138","0.0-11.0-0.0-2.0-1.1","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","4310","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","",""
"","","","","","html-keyboard-response","17","191699","0.0-11.0-0.0-2.0-0.2","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","18","195154","0.0-11.0-0.0-2.0-1.2","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","3454","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","",""
"","","","","","instructions","19","241626","0.0-11.0-0.0-3.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","[{""page_index"":0,""viewing_time"":27192},{""page_index"":1,""viewing_time"":19280}]","46471","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","245618","0.0-11.0-0.0-4.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","3487","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","262986","0.0-11.0-1.0-0.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","17367","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","22","267810","0.0-11.0-1.0-1.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","4823","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","23","273218","0.0-11.0-1.0-2.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","5407","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","24","277642","0.0-11.0-1.0-3.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","4423","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","",""
