"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","15","217195","0.0-11.0-0.0-2.0-0.1","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","16","218483","0.0-11.0-0.0-2.0-1.1","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","1287","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","",""
"","","","","","html-keyboard-response","17","220044","0.0-11.0-0.0-2.0-0.2","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","18","220831","0.0-11.0-0.0-2.0-1.2","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","786","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","",""
"","","","","","instructions","19","271083","0.0-11.0-0.0-3.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","[{""page_index"":0,""viewing_time"":29402},{""page_index"":1,""viewing_time"":20849}]","50252","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","275165","0.0-11.0-0.0-4.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","3574","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","296905","0.0-11.0-1.0-0.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","21740","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","22","301547","0.0-11.0-1.0-1.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","4642","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","23","310328","0.0-11.0-1.0-2.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","8780","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","24","316077","0.0-11.0-1.0-3.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","5749","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","25","324942","0.0-11.0-1.0-4.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","8865","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","26","331711","0.0-11.0-1.0-5.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","6769","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","27","347175","0.0-11.0-1.0-6.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","15464","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","",""
"","","","","","instructions","28","375132","0.0-12.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","[{""page_index"":0,""viewing_time"":6634},{""page_index"":1,""viewing_time"":8329},{""page_index"":2,""viewing_time"":7698},{""page_index"":3,""viewing_time"":5296}]","27957","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","29","391170","0.0-13.0-0.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","[{""page_index"":0,""viewing_time"":16038}]","16038","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","394827","0.0-13.0-1.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","3656","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","396389","0.0-13.0-2.0-0.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","32","399393","0.0-13.0-2.0-1.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","2229","","","","","","","","","","","","","","j","yesOrNo_prac","","","","1","","","far gt","3000","","","",""
"","","","","","html-keyboard-response","33","400965","0.0-13.0-2.0-0.1","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","34","403966","0.0-13.0-2.0-1.1","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","1211","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","gt","3000","","","",""
"","","","","","html-keyboard-response","35","405530","0.0-13.0-2.0-0.2","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","","","","","","","","","","","","","","","","ballFalling_prac","584","536","296","1","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","36","408531","0.0-13.0-2.0-1.2","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","856","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","close gt","3000","","","",""
"","","","","","html-keyboard-response","37","409774","0.0-13.0-3.0","652ebf9490189b8b57f1ce35","6796e1c0ff24ca17c453c51c","67c71ac70ca87dc786b3dd21","passed","","1243","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>0.7 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","",""
