"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","15","100948","0.0-11.0-0.0-2.0-0.1","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","16","102502","0.0-11.0-0.0-2.0-1.1","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","1553","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","html-keyboard-response","17","104065","0.0-11.0-0.0-2.0-0.2","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","18","105569","0.0-11.0-0.0-2.0-1.2","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","1501","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","instructions","19","137498","0.0-11.0-0.0-3.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","[{""page_index"":0,""viewing_time"":13796},{""page_index"":1,""viewing_time"":18131}]","31927","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","141761","0.0-11.0-0.0-4.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","3762","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","153484","0.0-11.0-1.0-0.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","11720","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","157252","0.0-11.0-1.0-1.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","3767","","","","","","","","","","","","","","{""checkBallHitObstacle"":""No.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","160268","0.0-11.0-1.0-2.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","3014","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","163519","0.0-11.0-1.0-3.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","3248","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","168535","0.0-11.0-1.0-4.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","5013","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","26","175903","0.0-11.0-1.0-5.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","7365","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","27","187686","0.0-11.0-1.0-6.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","11781","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","",""
"","","","","","html-button-response","28","189376","0.0-11.0-2.0-0.0","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","","1679","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","",""
"","","","","","instructions","29","199982","0.0-11.1-0.1-0.1","5fd95f2691ac2024f8a883dd","6796e1c0ff24ca17c453c51c","67c70b634e342d44d3e8c7bd","passed","[{""page_index"":0,""viewing_time"":3439},{""page_index"":1,""viewing_time"":1766},{""page_index"":2,""viewing_time"":2516},{""page_index"":3,""viewing_time"":2883}]","10605","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
