"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","15","169806","0.0-11.0-0.0-2.0-0.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","16","170860","0.0-11.0-0.0-2.0-1.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","1052","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","","",""
"","","","","","html-keyboard-response","17","172973","0.0-11.0-0.0-2.0-0.2","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","18","173926","0.0-11.0-0.0-2.0-1.2","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","951","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","","",""
"","","","","","instructions","19","226474","0.0-11.0-0.0-3.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","[{""page_index"":0,""viewing_time"":43089},{""page_index"":1,""viewing_time"":9458}]","52547","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","229849","0.0-11.0-0.0-4.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","2860","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","244837","0.0-11.0-1.0-0.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","14984","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","22","249517","0.0-11.0-1.0-1.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","4678","","","","","","","","","","","","","","{""checkBallHitObstacle"":""No.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","23","255808","0.0-11.0-1.0-2.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","6289","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","24","261402","0.0-11.0-1.0-3.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","5591","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","","",""
