"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","16","95708","0.0-11.0-0.0-2.0-1.1","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","640","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","",""
"","","","","","html-keyboard-response","17","97282","0.0-11.0-0.0-2.0-0.2","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","18","98472","0.0-11.0-0.0-2.0-1.2","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","1187","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","",""
"","","","","","instructions","19","131256","0.0-11.0-0.0-3.0","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","[{""page_index"":0,""viewing_time"":14739},{""page_index"":1,""viewing_time"":18044}]","32783","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","134368","0.0-11.0-0.0-4.0","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","2597","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","147820","0.0-11.0-1.0-0.0","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","13450","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","22","151951","0.0-11.0-1.0-1.0","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","4129","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","23","157557","0.0-11.0-1.0-2.0","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","5603","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","24","168802","0.0-11.0-1.0-3.0","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","11244","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","25","178014","0.0-11.0-1.0-4.0","5f8f54c1450c2d1b5984c34f","6790928bebf0b969fc839b02","67929d145a93a875db9c3f2c","passed","","9210","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","",""
