"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","16","241736","0.0-11.0-0.0-2.0-1.1","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","1163","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","",""
"","","","","","html-keyboard-response","17","243846","0.0-11.0-0.0-2.0-0.2","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","18","244869","0.0-11.0-0.0-2.0-1.2","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","1018","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","",""
"","","","","","instructions","19","285191","0.0-11.0-0.0-3.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","[{""page_index"":0,""viewing_time"":25082},{""page_index"":1,""viewing_time"":15240}]","40322","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","290088","0.0-11.0-0.0-4.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","4389","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","309712","0.0-11.0-1.0-0.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","19622","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","22","314240","0.0-11.0-1.0-1.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","4527","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","23","319368","0.0-11.0-1.0-2.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","5126","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","24","323304","0.0-11.0-1.0-3.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","3932","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","25","329088","0.0-11.0-1.0-4.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","5782","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","26","334994","0.0-11.0-1.0-5.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","5904","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","27","354472","0.0-11.0-1.0-6.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","19472","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","",""
"","","","","","instructions","28","379383","0.0-12.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","[{""page_index"":0,""viewing_time"":7670},{""page_index"":1,""viewing_time"":7416},{""page_index"":2,""viewing_time"":5440},{""page_index"":3,""viewing_time"":4384}]","24910","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","29","389223","0.0-13.0-0.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","[{""page_index"":0,""viewing_time"":9840}]","9840","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","394371","0.0-13.0-1.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","5146","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","395928","0.0-13.0-2.0-0.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","32","398942","0.0-13.0-2.0-1.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","1633","","","","","","","","","","","","","","j","yesOrNo_prac","","","","1","","","far gt","3000","","","",""
"","","","","","html-keyboard-response","33","400501","0.0-13.0-2.0-0.1","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","584","536","296","1","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","34","403508","0.0-13.0-2.0-1.1","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","1017","","","","","","","","","","","","","","j","yesOrNo_prac","","","","1","","","close gt","3000","","","",""
"","","","","","html-keyboard-response","35","405078","0.0-13.0-2.0-0.2","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","36","408091","0.0-13.0-2.0-1.2","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","1888","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","gt","3000","","","",""
"","","","","","html-keyboard-response","37","412984","0.0-13.0-3.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","4888","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>1 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","414543","0.0-13.0-4.0-0.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","39","415553","0.0-13.0-4.0-1.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","6","","","gt","1000","","","",""
"","","","","","html-keyboard-response","40","417124","0.0-13.0-4.0-0.1","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","41","418133","0.0-13.0-4.0-1.1","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","725","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","far gt","1000","","","",""
"","","","","","html-keyboard-response","42","420242","0.0-13.0-4.0-0.2","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","334","350","3","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","43","421249","0.0-13.0-4.0-1.2","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","1001","","","","","","","","","","","","","","f","yesOrNo_prac","","","","3","","","close gt","1000","","","",""
"","","","","","instructions","44","431094","0.0-13.0-5.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","[{""page_index"":0,""viewing_time"":9845}]","9845","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","433675","0.0-13.0-6.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","2579","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>1 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","",""
