"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","193","964356","0.0-20.0-0.17","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","","","","","","","","","","","","","","","","ballFalling","322.3","356.42114317029973","357.87","4","fallScene","false","","","","66","",""
"","","","","","html-keyboard-response","194","967370","0.0-20.0-1.17","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","1331","","","","","","","","","","","","","","f","yesOrNo","","","","4","","","gt","3000","","66","356.42114317029973","357.87"
"","","","","","html-keyboard-response","195","968923","0.0-20.0-0.18","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","","","","","","","","","","","","","","","","ballFalling","322.3","356.42114317029973","357.87","4","fallScene","false","","","","67","",""
"","","","","","html-keyboard-response","196","971935","0.0-20.0-1.18","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","715","","","","","","","","","","","","","","j","yesOrNo","","","","4","","","gt","3000","","67","356.42114317029973","357.87"
"","","","","","html-keyboard-response","197","973489","0.0-20.0-0.19","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","","","","","","","","","","","","","","","","ballFalling","604.4000000000001","575.4211431702997","266.76","12","fallScene","true","","","","68","",""
"","","","","","html-keyboard-response","198","976503","0.0-20.0-1.19","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","993","","","","","","","","","","","","","","f","yesOrNo","","","","12","","","mid","3000","","68","536.4288568297004","300"
"","","","","","html-keyboard-response","199","978056","0.0-20.0-0.20","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","","","","","","","","","","","","","","","","ballFalling","604.4000000000001","650.0211431702996","404.58000000000004","11","fallScene","false","","","","69","",""
"","","","","","html-keyboard-response","200","981069","0.0-20.0-1.20","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","1049","","","","","","","","","","","","","","f","yesOrNo","","","","11","","","mid","3000","","69","605.4000000000001","300"
"","","","","","html-keyboard-response","201","982622","0.0-20.0-0.21","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","","","","","","","","","","","","","","","","ballFalling","322.3","356.42114317029973","357.87","4","fallScene","false","","","","70","",""
"","","","","","html-keyboard-response","202","985636","0.0-20.0-1.21","66d04902641a3c8fb01582cb","6790928bebf0b969fc839b02","679828b35a458dedb5cafebd","passed","","1186","","","","","","","","","","","","","","j","yesOrNo","","","","4","","","lp","3000","","70","323.3","297.4070551689986"
