"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","comprehensionCheck","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","survey-multi-choice","21","208163","0.0-4.1-1.1-1.1","","","","3653","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","22","213584","0.0-4.1-1.1-2.1","","","","5414","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","","",""
"","","","","","instructions","23","224443","0.0-5.0","","","","10852","","","[{""page_index"":0,""viewing_time"":10852}]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","227448","0.0-6.0-0.0","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","500","510.8711431702997","369.03","8","","","","","","",""
"","","","","","html-keyboard-response","25","231781","0.0-6.0-1.0","","","","","","","","","","","","","","","","422.9999991863347","310.0099999999669","4331","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","231781","0.0-6.0-1.0","","","","","","","","","","reconstruct","","","","","","422.9999991863347","310.0099999999669","4331","","","","","","","","","","4","500","350","86.76520169576683","21.91626459570958","105.8522477090336","false"
"","","","","","html-keyboard-response","26","234786","0.0-6.0-0.1","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","27","237047","0.0-6.0-1.1","","","","","","","","","","","","","","","","452.00887758092034","261.9953968970246","2260","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","237047","0.0-6.0-1.1","","","","","","","","","","reconstruct","","","","","","452.00887758092034","261.9953968970246","2260","","","","","","","","","","3","500","250","49.467538626459245","83.32537063576497","74.31558062024708","true"
"","","","","","html-keyboard-response","28","240051","0.0-6.0-0.2","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","29","243465","0.0-6.0-1.2","","","","","","","","","","","","","","","","370.99999901900463","270.0099999999519","3411","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","243465","0.0-6.0-1.2","","","","","","","","","","reconstruct","","","","","","370.99999901900463","270.0099999999519","3411","","","","","","","","","","3","500","250","130.54271466878143","120.7223409317444","26.13682563739101","false"
"","","","","","html-keyboard-response","30","246469","0.0-6.0-0.3","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","500","510.8711431702997","369.03","8","","","","","","",""
"","","","","","html-keyboard-response","31","249331","0.0-6.0-1.3","","","","","","","","","","","","","","","","541.9929289321881","238.0070710678118","2860.000000000029","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","249331","0.0-6.0-1.3","","","","","","","","","","reconstruct","","","","","","541.9929289321881","238.0070710678118","2860.000000000029","","","","","","","","","","3","500","250","43.671918032945555","119.5254058927605","134.66838327899427","false"
"","","","","","html-keyboard-response","32","252334","0.0-6.0-0.4","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","33","254681","0.0-6.0-1.4","","","","","","","","","","","","","","","","296.99836097735425","263.0098647658242","2343.999999999971","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","254681","0.0-6.0-1.4","","","","","","","","","","reconstruct","","","","","","296.99836097735425","263.0098647658242","2343.999999999971","","","","","","","","","","2","375","350","116.83980194385526","81.79422987254857","108.45409888599293","false"
"","","","","","html-keyboard-response","34","257684","0.0-6.0-0.5","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","322.3","356.42114317029973","357.87","4","","","","","","",""
"","","","","","html-keyboard-response","35","261031","0.0-6.0-1.5","","","","","","","","","","","","","","","","622.9999000049927","251.9900004999626","3345.999999999971","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","261031","0.0-6.0-1.5","","","","","","","","","","reconstruct","","","","","","622.9999000049927","251.9900004999626","3345.999999999971","","","","","","","","","","3","500","250","123.0159969403494","179.58514701534637","286.83585530693034","false"
"","","","","","html-keyboard-response","36","264035","0.0-6.0-0.6","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","37","266731","0.0-6.0-1.6","","","","","","","","","","","","","","","","381.990000021444","260.00002070942287","2694.999999999942","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","266731","0.0-6.0-1.6","","","","","","","","","","reconstruct","","","","","","381.990000021444","260.00002070942287","2694.999999999942","","","","","","","","","","5","625","250","243.21566664951226","245.67478056867253","14.980704994598518","true"
"","","","","","html-keyboard-response","38","269736","0.0-6.0-0.7","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","322.3","308.07114317029976","253.89","2","","","","","","",""
"","","","","","html-keyboard-response","39","273398","0.0-6.0-1.7","","","","","","","","","","","","","","","","656.9993219866913","284.99002301157896","3660","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","273398","0.0-6.0-1.7","","","","","","","","","","reconstruct","","","","","","656.9993219866913","284.99002301157896","3660","","","","","","","","","","5","625","250","47.41580240762321","316.9527289539887","350.3114120371251","false"
"","","","","","html-keyboard-response","40","276402","0.0-6.0-0.8","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","41","282831","0.0-6.0-1.8","","","","","","","","","","","","","","","","273.00961532575377","330.00723731965667","6428","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","282831","0.0-6.0-1.8","","","","","","","","","","reconstruct","","","","","","273.00961532575377","330.00723731965667","6428","","","","","","","","","","5","625","250","360.96868136536125","350.6375970361613","47.43591045144631","false"
"","","","","","html-keyboard-response","42","285835","0.0-6.0-0.9","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","604.4000000000001","596.8711431702998","394.5","10","","","","","","",""
"","","","","","html-keyboard-response","43","288213","0.0-6.0-1.9","","","","","","","","","","","","","","","","356.9934669299147","257.9924290690625","2377","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","288213","0.0-6.0-1.9","","","","","","","","","","reconstruct","","","","","","356.9934669299147","257.9924290690625","2377","","","","","","","","","","6","625","350","283.36000931122624","52.64487236707649","275.9993052164298","false"
"","","","","","html-keyboard-response","44","291217","0.0-6.0-0.10","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","45","293664","0.0-6.0-1.10","","","","","","","","","","","","","","","","503.99999914599243","258.99000000003645","2446","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","293664","0.0-6.0-1.10","","","","","","","","","","reconstruct","","","","","","503.99999914599243","258.99000000003645","2446","","","","","","","","","","2","375","350","157.87279651561067","106.65084708600553","75.8058421567422","false"
"","","","","","html-keyboard-response","46","296668","0.0-6.0-0.11","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","500","510.8711431702997","369.03","8","","","","","","",""
"","","","","","html-keyboard-response","47","299047","0.0-6.0-1.11","","","","","","","","","","","","","","","","549.99","255.000000034311","2377","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","299047","0.0-6.0-1.11","","","","","","","","","","reconstruct","","","","","","549.99","255.000000034311","2377","","","","","","","","","","1","375","250","175.0614180804643","180.6352912539631","120.55341493229305","true"
