"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","html-keyboard-response","22","339058","0.0-6.0-0.4","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","23","342143","0.0-6.0-1.4","","","","","","","","","","","","","","","","391.01","308.9999999999997","3084.199999988079","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","342143","0.0-6.0-1.4","","","","","","","","","","reconstruct","","","","","","391.01","308.9999999999997","3084.199999988079","","","","","","","","","5","625","250","241.3137379015127","52.33508043884061","189.18691108366022","false"
"","","","","","html-keyboard-response","24","345144","0.0-6.0-0.5","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","596.8711431702998","394.5","10","","","","","","",""
"","","","","","html-keyboard-response","25","349605","0.0-6.0-1.5","","","","","","","","","","","","","","","","422.01","294","4459.199999988079","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","349605","0.0-6.0-1.5","","","","","","","","","","reconstruct","","","","","","422.01","294","4459.199999988079","","","","","","","","","5","625","250","207.70397227785512","147.21237239629613","201.6845789613675","false"
"","","","","","html-keyboard-response","26","352607","0.0-6.0-0.6","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","650.0211431702996","404.58000000000004","11","","","","","","",""
"","","","","","html-keyboard-response","27","356149","0.0-6.0-1.6","","","","","","","","","","","","","","","","655.9900004999625","285.99990000499963","3541","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","356149","0.0-6.0-1.6","","","","","","","","","","reconstruct","","","","","","655.9900004999625","285.99990000499963","3541","","","","","","","","","2","375","350","288.18638618147634","280.384745645512","118.73022939692387","false"
"","","","","","html-keyboard-response","28","359153","0.0-6.0-0.7","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","308.07114317029976","253.89","2","","","","","","",""
"","","","","","html-keyboard-response","29","362273","0.0-6.0-1.7","","","","","","","","","","","","","","","","660","247.01","3119.2999999821186","","","","","","","","","","","","","","",""
