"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","html-keyboard-response","22","142533","0.0-6.0-0.4","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","23","144925","0.0-6.0-1.4","","","","","","","","","","","","","","","","470.00707142277264","217.0070707128333","2391.699999809265","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","144925","0.0-6.0-1.4","","","","","","","","","","reconstruct","","","","","","470.00707142277264","217.0070707128333","2391.699999809265","","","","","","","","","3","500","250","44.58821758701108","83.32537063576497","114.293724606688","false"
"","","","","","html-keyboard-response","24","147929","0.0-6.0-0.5","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","25","150415","0.0-6.0-1.5","","","","","","","","","","","","","","","","486.9999999999364","282.01","2486.199999809265","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","150415","0.0-6.0-1.5","","","","","","","","","","reconstruct","","","","","","486.9999999999364","282.01","2486.199999809265","","","","","","","","","1","375","250","116.48450583655215","132.47038606482027","49.37013078790145","true"
"","","","","","html-keyboard-response","26","153426","0.0-6.0-0.6","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","27","156461","0.0-6.0-1.6","","","","","","","","","","","","","","","","468.9900000069001","300.99998825256284","3034.5999999046326","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","156461","0.0-6.0-1.6","","","","","","","","","","reconstruct","","","","","","468.9900000069001","300.99998825256284","3034.5999999046326","","","","","","","","","5","625","250","164.13445372501343","166.09585063755407","31.80734966404419","true"
"","","","","","html-keyboard-response","28","159473","0.0-6.0-0.7","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","29","161703","0.0-6.0-1.7","","","","","","","","","","","","","","","","512.9900002465098","323.9999297850727","2228.7000002861023","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","161703","0.0-6.0-1.7","","","","","","","","","","reconstruct","","","","","","512.9900002465098","323.9999297850727","2228.7000002861023","","","","","","","","","3","500","250","75.13141629571491","60.992391944789844","128.21692455433174","false"
"","","","","","html-keyboard-response","30","164705","0.0-6.0-0.8","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","31","167044","0.0-6.0-1.8","","","","","","","","","","","","","","","","298.00000000006617","318.99","2338.300000190735","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","167044","0.0-6.0-1.8","","","","","","","","","","reconstruct","","","","","","298.00000000006617","318.99","2338.300000190735","","","","","","","","","1","375","250","103.3857828716783","144.8526701184459","52.5054415148538","true"
"","","","","","html-keyboard-response","32","170050","0.0-6.0-0.9","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","33","173512","0.0-6.0-1.9","","","","","","","","","","","","","","","","401.0000004324659","295.99000000000933","3461.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","173512","0.0-6.0-1.9","","","","","","","","","","reconstruct","","","","","","401.0000004324659","295.99000000000933","3461.5","","","","","","","","","6","625","350","230.41935662234252","96.88632847073895","176.85340803606906","false"
"","","","","","html-keyboard-response","34","176514","0.0-6.0-0.10","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","35","178769","0.0-6.0-1.10","","","","","","","","","","","","","","","","328.9999851368666","239.00999998895435","2253.6000003814697","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","178769","0.0-6.0-1.10","","","","","","","","","","reconstruct","","","","","","328.9999851368666","239.00999998895435","2253.6000003814697","","","","","","","","","1","375","250","47.29462408827537","6.455183391295546","50.7561933340843","false"
"","","","","","html-keyboard-response","36","181778","0.0-6.0-0.11","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","596.8711431702998","394.5","10","","","","","","",""
