"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","html-keyboard-response","22","157584","0.0-6.0-0.4","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","23","160065","0.0-6.0-1.4","","","","","","","","","","","","","","","","473.0000009900507","279.990000000049","2479.5999999940395","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","160065","0.0-6.0-1.4","","","","","","","","","","reconstruct","","","","","","473.0000009900507","279.990000000049","2479.5999999940395","","","","","","","","","4","500","350","75.0359916741986","112.32651707016848","103.27208366982863","true"
"","","","","","html-keyboard-response","24","163075","0.0-6.0-0.5","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","510.8711431702997","369.03","8","","","","","","",""
"","","","","","html-keyboard-response","25","165816","0.0-6.0-1.5","","","","","","","","","","","","","","","","455.0000999855163","313.0099995001323","2740.300000011921","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","165816","0.0-6.0-1.5","","","","","","","","","","reconstruct","","","","","","455.0000999855163","313.0099995001323","2740.300000011921","","","","","","","","","6","625","350","173.97765989320203","115.70452394463331","79.11898585397255","false"
"","","","","","html-keyboard-response","26","168819","0.0-6.0-0.6","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","650.0211431702996","404.58000000000004","11","","","","","","",""
"","","","","","html-keyboard-response","27","172782","0.0-6.0-1.6","","","","","","","","","","","","","","","","369.00999950003774","302.9999000050207","3961.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","172782","0.0-6.0-1.6","","","","","","","","","","reconstruct","","","","","","369.00999950003774","302.9999000050207","3961.5","","","","","","","","","5","625","250","261.4189544706215","156.59193467592334","298.80726159492605","false"
"","","","","","html-keyboard-response","28","175788","0.0-6.0-0.7","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","667.6211431702998","201.78","9","","","","","","",""
"","","","","","html-keyboard-response","29","180565","0.0-6.0-1.7","","","","","","","","","","","","","","","","468.01","301","4776.100000023842","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","180565","0.0-6.0-1.7","","","","","","","","","","reconstruct","","","","","","468.01","301","4776.100000023842","","","","","","","","","5","625","250","165.06622943533907","64.35627588000405","222.91078232726633","false"
"","","","","","html-keyboard-response","30","183572","0.0-6.0-0.8","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","31","187565","0.0-6.0-1.8","","","","","","","","","","","","","","","","546.0071061552433","296.00703580540227","3992.0999999940395","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","187565","0.0-6.0-1.8","","","","","","","","","","reconstruct","","","","","","546.0071061552433","296.00703580540227","3992.0999999940395","","","","","","","","","2","375","350","179.32838742962517","217.0196586249499","41.479810473597816","true"
"","","","","","html-keyboard-response","32","190569","0.0-6.0-0.9","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","296.07114317029976","371.46","3","","","","","","",""
