"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","16","441747","0.0-11.0-0.0-2.0-1.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","3452","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","","",""
"","","","","","html-keyboard-response","17","443306","0.0-11.0-0.0-2.0-0.2","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","18","444650","0.0-11.0-0.0-2.0-1.2","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","1339","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","","",""
"","","","","","instructions","19","495193","0.0-11.0-0.0-3.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","[{""page_index"":0,""viewing_time"":41035},{""page_index"":1,""viewing_time"":9504}]","50539","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","511946","0.0-11.0-0.0-4.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","16249","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","567802","0.0-11.0-1.0-0.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","55854","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","22","578633","0.0-11.0-1.0-1.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","10830","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","23","590393","0.0-11.0-1.0-2.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","11759","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","24","605073","0.0-11.0-1.0-3.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","14679","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","25","618009","0.0-11.0-1.0-4.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","12935","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","26","646745","0.0-11.0-1.0-5.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","28735","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""No, the time limit changes for each trial within a block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","27","689609","0.0-11.0-1.0-6.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","42862","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","","",""
"","","","","","html-button-response","28","694585","0.0-11.0-2.0-0.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","4974","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","","",""
