"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround","screen"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","1467","0.0-1.0","[{""page_index"":0,""viewing_time"":1464}]","1464","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","4479","0.0-2.0-0.0","","null","","null","true","604.4000000000001","650.0211431702996","404.58000000000004","11","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","6837","0.0-2.0-1.0","","","","","","","","","","","360.00999999959936","392.00000283079373","2356.099999964237","","","","","","","",""
"","","","","","html-keyboard-response","3","6837","0.0-2.0-1.0","","","","","","","","","","reconstruct","360.00999999959936","392.00000283079373","2356.099999964237","6","625","350","268.2977829539391","60.04193539142985","290.2838601988641","false",""
"","","","","","html-button-response","4","8006","0.0-3.0","","1168","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","11009","0.0-4.0-0.0","","null","","null","true","322.3","296.07114317029976","371.46","3","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","13276","0.0-4.0-1.0","","","","","","","","","","","677.9999000050003","343.0099995000375","2266.800000011921","","","","","","","",""
"","","","","","html-keyboard-response","6","13276","0.0-4.0-1.0","","","","","","","","","","reconstruct","677.9999000050003","343.0099995000375","2266.800000011921","4","500","350","178.13709470174814","205.05489569349075","382.98691599811565","false",""
"","","","","","html-button-response","7","14411","0.0-5.0","","1134","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","17423","0.0-6.0-0.0","","null","","null","false","500","479.92114317029973","330.87","6","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","19682","0.0-6.0-1.0","","","","","","","","","","","476.0000000000492","329.01","2258.300000011921","","","","","","","",""
"","","","","","html-keyboard-response","9","19682","0.0-6.0-1.0","","","","","","","","","","reconstruct","476.0000000000492","329.01","2258.300000011921","3","500","250","82.57469406541955","83.32537063576497","4.33992670002642","true",""
"","","","","","html-button-response","10","20732","0.0-7.0","","1049","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","23735","0.0-8.0-0.0","","null","","null","true","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","26303","0.0-8.0-1.0","","","","","","","","","","","393.00000099004984","301.009999999951","2567.900000035763","","","","","","","",""
"","","","","","html-keyboard-response","12","26303","0.0-8.0-1.0","","","","","","","","","","reconstruct","393.00000099004984","301.009999999951","2567.900000035763","6","625","350","237.11604678009812","96.88632847073895","185.60855479838096","false",""
"","","","","","html-keyboard-response","13","29305","0.0-9.0-0.0","","null","","null","true","322.3","379.3711431702997","245.25","1","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","32092","0.0-9.0-1.0","","","","","","","","","","","621.9999000102299","276.0099995000898","2786.900000035763","","","","","","","",""
"","","","","","html-keyboard-response","14","32092","0.0-9.0-1.0","","","","","","","","","","reconstruct","621.9999000102299","276.0099995000898","2786.900000035763","2","375","350","257.84388838799396","104.84116268248488","244.57083067065764","false",""
"","","","","","survey-text","15","34978","0.0-10.0","","2884","","{""Summary"":""aaaaaa""}","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","16","37146","0.0-11.0","","2166","","{""Comments"":""bbbbbb""}","","","","","","","","","","","","","","","","","[]"
"","","","","","html-keyboard-response","17","47151","0.0-12.0","","null","<p><br>Mean Response Time: 2447 
                <br>Percent of Placed Obstacle in between Initial and Groundtruth Condition: 20 %</p><p> Thank you for your participation! Your responses have been successfully recorded. </p><p> Your completion code is</p><b>XxCyhyzl553k</b><p> Please ensure to copy this code and paste it into Prolific, as you won't be able to access this code once you leave this page. </p><p> You're free to exit the window at your convenience.</p>Once again, we appreciate your time and effort!","null","","","","","","","","","","","","","","","","",""
