"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","16","136393","0.0-11.0-0.0-2.0-1.1","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","933","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","html-keyboard-response","17","137961","0.0-11.0-0.0-2.0-0.2","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","18","139372","0.0-11.0-0.0-2.0-1.2","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","1409","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","instructions","19","190582","0.0-11.0-0.0-3.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","[{""page_index"":0,""viewing_time"":32426},{""page_index"":1,""viewing_time"":18784}]","51210","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","193713","0.0-11.0-0.0-4.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","2616","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","221300","0.0-11.0-1.0-0.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","27587","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","231579","0.0-11.0-1.0-1.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","10278","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","236352","0.0-11.0-1.0-2.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","4772","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","245384","0.0-11.0-1.0-3.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","9032","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","251150","0.0-11.0-1.0-4.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","5765","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","26","262337","0.0-11.0-1.0-5.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","11186","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
